Episode,Reward,Latency_s,Energy_J,Completion_Rate,Reward_MA10,Latency_MA10,Energy_MA10,Completion_Rate_MA10
200,-7963.206494475714,0,0,1.0,-9737.192564798896,0.0,0.0,1.0
201,-9798.869644985214,0,0,1.0,-9561.721649192225,0.0,0.0,1.0
202,-8347.700752697576,0,0,1.0,-9353.293747391315,0.0,0.0,1.0
203,-10571.375794956024,0,0,1.0,-9492.27077921455,0.0,0.0,1.0
204,-10654.930688495275,0,0,1.0,-9790.245069075963,0.0,0.0,1.0
205,-7860.146916953468,0,0,1.0,-9605.025785872906,0.0,0.0,1.0
206,-8573.975044970111,0,0,1.0,-9406.488130975858,0.0,0.0,1.0
207,-7485.084499068505,0,0,1.0,-9257.877517186043,0.0,0.0,1.0
208,-6893.588285889629,0,0,1.0,-8927.872382465643,0.0,0.0,1.0
209,-9471.261989536075,0,0,1.0,-8762.01401120276,0.0,0.0,1.0
210,-9464.036355338032,0,0,1.0,-8912.09699728899,0.0,0.0,1.0
211,-8382.056827360291,0,0,1.0,-8770.415715526498,0.0,0.0,1.0
212,-9791.640287896247,0,0,1.0,-8914.809669046366,0.0,0.0,1.0
213,-8068.130124831956,0,0,1.0,-8664.48510203396,0.0,0.0,1.0
214,-7139.041234835842,0,0,1.0,-8312.896156668014,0.0,0.0,1.0
215,-10113.633052636214,0,0,1.0,-8538.24477023629,0.0,0.0,1.0
216,-9706.399016140478,0,0,1.0,-8651.487167353327,0.0,0.0,1.0
217,-9349.075115528178,0,0,1.0,-8837.886228999294,0.0,0.0,1.0
218,-8618.171874719998,0,0,1.0,-9010.34458788233,0.0,0.0,1.0
219,-8489.148890598228,0,0,1.0,-8912.133277988545,0.0,0.0,1.0
220,-8575.910431762897,0,0,1.0,-8823.320685631032,0.0,0.0,1.0
221,-7887.798587328634,0,0,1.0,-8773.894861627869,0.0,0.0,1.0
222,-8088.7798092623925,0,0,1.0,-8603.608813764484,0.0,0.0,1.0
223,-8819.254127850374,0,0,1.0,-8678.721214066323,0.0,0.0,1.0
224,-7959.809883884761,0,0,1.0,-8760.798078971216,0.0,0.0,1.0
225,-9746.00770115381,0,0,1.0,-8724.035543822974,0.0,0.0,1.0
226,-9422.19435057594,0,0,1.0,-8695.615077266522,0.0,0.0,1.0
227,-9071.198070101618,0,0,1.0,-8667.827372723865,0.0,0.0,1.0
228,-7490.98339918573,0,0,1.0,-8555.108525170439,0.0,0.0,1.0
229,-9213.512319203199,0,0,1.0,-8627.544868030936,0.0,0.0,1.0
230,-8322.57972198423,0,0,1.0,-8602.21179705307,0.0,0.0,1.0
231,-9185.24384743677,0,0,1.0,-8731.956323063881,0.0,0.0,1.0
232,-9992.625314600433,0,0,1.0,-8922.340873597686,0.0,0.0,1.0
233,-10565.283482473413,0,0,1.0,-9096.94380905999,0.0,0.0,1.0
234,-8041.670226808852,0,0,1.0,-9105.1298433524,0.0,0.0,1.0
235,-8929.8112553667,0,0,1.0,-9023.510198773689,0.0,0.0,1.0
236,-8916.438446419786,0,0,1.0,-8972.934608358075,0.0,0.0,1.0
237,-11338.580908577569,0,0,1.0,-9199.672892205668,0.0,0.0,1.0
238,-10857.848567227453,0,0,1.0,-9536.359409009841,0.0,0.0,1.0
239,-7562.817658154061,0,0,1.0,-9371.289942904927,0.0,0.0,1.0
240,-8403.215295866421,0,0,1.0,-9379.353500293146,0.0,0.0,1.0
241,-8291.81703872818,0,0,1.0,-9290.010819422288,0.0,0.0,1.0
242,-8724.929680532228,0,0,1.0,-9163.241256015466,0.0,0.0,1.0
243,-7286.0700674441105,0,0,1.0,-8835.319914512536,0.0,0.0,1.0
244,-7658.1282702734015,0,0,1.0,-8796.965718858994,0.0,0.0,1.0
245,-6794.933848840315,0,0,1.0,-8583.477978206352,0.0,0.0,1.0
246,-6768.979673267992,0,0,1.0,-8368.732100891173,0.0,0.0,1.0
247,-8698.872126623128,0,0,1.0,-8104.76122269573,0.0,0.0,1.0
248,-7929.352657734862,0,0,1.0,-7811.91163174647,0.0,0.0,1.0
249,-9056.101898590572,0,0,1.0,-7961.240055790122,0.0,0.0,1.0
250,-6940.596099208828,0,0,1.0,-7814.978136124361,0.0,0.0,1.0
251,-10693.037493162852,0,0,1.0,-8055.100181567827,0.0,0.0,1.0
252,-7860.081488715881,0,0,1.0,-7968.615362386193,0.0,0.0,1.0
253,-5079.508450514716,0,0,1.0,-7747.959200693255,0.0,0.0,1.0
254,-8854.445000669444,0,0,1.0,-7867.590873732857,0.0,0.0,1.0
255,-8921.831018079942,0,0,1.0,-8080.280590656822,0.0,0.0,1.0
256,-9684.272114144058,0,0,1.0,-8371.809834744428,0.0,0.0,1.0
257,-8274.531099668178,0,0,1.0,-8329.375732048935,0.0,0.0,1.0
258,-8936.373901191035,0,0,1.0,-8430.077856394551,0.0,0.0,1.0
259,-8731.878218055439,0,0,1.0,-8397.655488341039,0.0,0.0,1.0
260,-9611.432953774563,0,0,1.0,-8664.73917379761,0.0,0.0,1.0
261,-9439.164640352144,0,0,1.0,-8539.351888516541,0.0,0.0,1.0
262,-9041.782656859226,0,0,1.0,-8657.522005330875,0.0,0.0,1.0
263,-9059.912506055993,0,0,1.0,-9055.562410885002,0.0,0.0,1.0
264,-7733.883929059291,0,0,1.0,-8943.506303723987,0.0,0.0,1.0
265,-9736.977563774217,0,0,1.0,-9025.020958293415,0.0,0.0,1.0
266,-8175.363732757924,0,0,1.0,-8874.130120154801,0.0,0.0,1.0
267,-8256.147109269494,0,0,1.0,-8872.291721114934,0.0,0.0,1.0
268,-10652.45161218323,0,0,1.0,-9043.899492214154,0.0,0.0,1.0
269,-11816.748067790331,0,0,1.0,-9352.386477187643,0.0,0.0,1.0
270,-6823.312229105297,0,0,1.0,-9073.574404720715,0.0,0.0,1.0
271,-8140.980417129445,0,0,1.0,-8943.755982398445,0.0,0.0,1.0
272,-8124.951259353633,0,0,1.0,-8852.072842647885,0.0,0.0,1.0
273,-7120.745067519513,0,0,1.0,-8658.15609879424,0.0,0.0,1.0
274,-9322.177622422043,0,0,1.0,-8816.985468130511,0.0,0.0,1.0
275,-10603.081471059302,0,0,1.0,-8903.59585885902,0.0,0.0,1.0
276,-5316.450453542928,0,0,1.0,-8617.70453093752,0.0,0.0,1.0
277,-8813.20519495805,0,0,1.0,-8673.410339506378,0.0,0.0,1.0
278,-7719.1236766750535,0,0,1.0,-8380.077545955559,0.0,0.0,1.0
279,-6808.445494295932,0,0,1.0,-7879.24728860612,0.0,0.0,1.0
280,-10067.991575245323,0,0,1.0,-8203.715223220122,0.0,0.0,1.0
281,-9226.711626462418,0,0,1.0,-8312.28834415342,0.0,0.0,1.0
282,-10581.354374690745,0,0,1.0,-8557.928655687132,0.0,0.0,1.0
283,-8655.299313410824,0,0,1.0,-8711.384080276262,0.0,0.0,1.0
284,-9526.442504050565,0,0,1.0,-8731.810568439114,0.0,0.0,1.0
285,-8586.54617180017,0,0,1.0,-8530.157038513202,0.0,0.0,1.0
286,-12598.593600301845,0,0,1.0,-9258.371353189093,0.0,0.0,1.0
287,-9065.383822991691,0,0,1.0,-9283.589215992457,0.0,0.0,1.0
288,-9072.010199160346,0,0,1.0,-9418.877868240987,0.0,0.0,1.0
289,-8629.438372709774,0,0,1.0,-9600.97715608237,0.0,0.0,1.0
290,-5405.117148836875,0,0,1.0,-9134.689713441525,0.0,0.0,1.0
291,-9944.160907578947,0,0,1.0,-9206.434641553178,0.0,0.0,1.0
292,-8610.838075683974,0,0,1.0,-9009.383011652502,0.0,0.0,1.0
293,-12743.66389618944,0,0,1.0,-9418.219469930362,0.0,0.0,1.0
294,-7288.862969119964,0,0,1.0,-9194.4615164373,0.0,0.0,1.0
295,-7092.966259258581,0,0,1.0,-9045.103525183144,0.0,0.0,1.0
296,-6537.828729252942,0,0,1.0,-8439.027038078253,0.0,0.0,1.0
297,-7581.414748984336,0,0,1.0,-8290.630130677517,0.0,0.0,1.0
298,-6959.844909004073,0,0,1.0,-8079.4136016618895,0.0,0.0,1.0
299,-8294.155623677809,0,0,1.0,-8045.885326758694,0.0,0.0,1.0
300,-7737.473903489941,0,0,1.0,-8279.121002224001,0.0,0.0,1.0
301,-7327.5754837613085,0,0,1.0,-8017.462459842236,0.0,0.0,1.0
302,-9567.779342539996,0,0,1.0,-8113.156586527839,0.0,0.0,1.0
303,-9710.738862083152,0,0,1.0,-7809.864083117211,0.0,0.0,1.0
304,-8925.1614996148,0,0,1.0,-7973.493936166693,0.0,0.0,1.0
305,-10053.3200081061,0,0,1.0,-8269.529311051447,0.0,0.0,1.0
306,-9723.589025569501,0,0,1.0,-8588.1053406831,0.0,0.0,1.0
307,-9394.539995285384,0,0,1.0,-8769.417865313206,0.0,0.0,1.0
308,-9140.236812695319,0,0,1.0,-8987.457055682333,0.0,0.0,1.0
309,-9541.314916645255,0,0,1.0,-9112.172984979075,0.0,0.0,1.0
310,-8179.110964117272,0,0,1.0,-9156.336691041808,0.0,0.0,1.0
311,-9874.917542583917,0,0,1.0,-9411.07089692407,0.0,0.0,1.0
312,-10250.873964704906,0,0,1.0,-9479.380359140561,0.0,0.0,1.0
313,-7185.202551814765,0,0,1.0,-9226.826728113721,0.0,0.0,1.0
314,-7486.017011638574,0,0,1.0,-9082.912279316099,0.0,0.0,1.0
315,-10174.799930982843,0,0,1.0,-9095.060271603772,0.0,0.0,1.0
316,-9540.96111436459,0,0,1.0,-9076.797480483281,0.0,0.0,1.0
317,-7910.891904466683,0,0,1.0,-8928.432671401413,0.0,0.0,1.0
318,-9946.178149375193,0,0,1.0,-9009.0268050694,0.0,0.0,1.0
319,-8320.11521988624,0,0,1.0,-8886.906835393496,0.0,0.0,1.0
320,-9375.056579951075,0,0,1.0,-9006.501396976879,0.0,0.0,1.0
321,-6813.208403230618,0,0,1.0,-8700.330483041549,0.0,0.0,1.0
322,-10324.936565562313,0,0,1.0,-8707.736743127289,0.0,0.0,1.0
323,-10697.755226409166,0,0,1.0,-9058.99201058673,0.0,0.0,1.0
324,-10370.639083712327,0,0,1.0,-9347.454217794106,0.0,0.0,1.0
325,-8341.144005046915,0,0,1.0,-9164.088625200511,0.0,0.0,1.0
326,-9472.14612005768,0,0,1.0,-9157.207125769819,0.0,0.0,1.0
327,-9697.296113794251,0,0,1.0,-9335.847546702576,0.0,0.0,1.0
328,-8565.250669060862,0,0,1.0,-9197.754798671145,0.0,0.0,1.0
329,-6324.337268185588,0,0,1.0,-8998.177003501078,0.0,0.0,1.0
330,-8561.602006747707,0,0,1.0,-8916.831546180741,0.0,0.0,1.0
331,-9978.91618831338,0,0,1.0,-9233.402324689017,0.0,0.0,1.0
332,-9692.141980972905,0,0,1.0,-9170.12286623008,0.0,0.0,1.0
333,-10014.314271803063,0,0,1.0,-9101.778770769468,0.0,0.0,1.0
334,-7555.5226536658265,0,0,1.0,-8820.267127764817,0.0,0.0,1.0
335,-10726.977270852167,0,0,1.0,-9058.850454345342,0.0,0.0,1.0
336,-8318.889614772348,0,0,1.0,-8943.52480381681,0.0,0.0,1.0
337,-8656.191681611937,0,0,1.0,-8839.414360598577,0.0,0.0,1.0
338,-8299.938839893312,0,0,1.0,-8812.883177681822,0.0,0.0,1.0
339,-8727.929969692805,0,0,1.0,-9053.242447832545,0.0,0.0,1.0
340,-7193.415893929789,0,0,1.0,-8916.423836550752,0.0,0.0,1.0
341,-7908.860994997463,0,0,1.0,-8709.418317219162,0.0,0.0,1.0
